label,value
shipbuilders,1
shoguns,1
sign painters,1
silhouette artists,1
silversmiths,218
singers,16
sitters,96
social scientists,4
social workers,3
socialites,10
societies,178
sociologists,22
soldiers,18
special collections,1
sponsors,3
sportsmen,1
spouses,20
stadtholders,2
stained glass artists,25
stair builders,1
statesmen,50
stewards,1
stockbrokers,2
stone carvers,4
stonecutters,7
stonemasons,22
structural engineers,41
stuccoists,5
students,16
studios (organizations),32
stylists,1
subcontractors,1
sultans,5
sundial makers,3
surgeons,4
surveyors,55
swordsmiths,1
tailors,4
tapestry dealers,2
tapestry manufactories,6
tapestry weavers,4
tea masters,3
teachers,8
technicians,3
tetrarchs,1
textile artists,9
textile designers,56
theater companies,4
theologians,19
theorists,40
thieves,1
tile makers,20
tinsmiths,3
topographers,2
toymakers,4
transit systems (administrative),1
translators,5
transportation engineers,2
travelers,6
typographers,9
tyrants,2
undetermined (information indicator),11
unidentified,2217
universities (institutions),198
upholsterers,14
urban planners,531
urban planning firms,15
vase painters,27
video artists,15
vintners,1
violin makers,3
watchmakers,2
watercolorists,2
weapons makers,3
weavers,25
window dressers,2
women (female humans),20
wood engravers,3
woodcarvers (woodworkers),10
woodcutters (printmakers),1
woodworkers,20
workers,4
workshops (organizations),15
writers (clerical workers),3
zoologists,4
