label,value
Salvadoran,22
Shoshone,22
Hawaiian (culture or style),21
Palenque,21
Sudanese,21
Burgundian (Migration culture or style),20
British Columbian,20
Azerbaijani (culture or style),20
Cree (culture or style),20
Creek (style),20
Veronese,20
Ancient Jewish,19
Bahamian,19
Ogala,19
Choctaw (culture or style),19
Moravian,19
Piedmontese,19
Mozambican,19
Katladlit,18
Inupiaq,18
Cretan,18
Comanche (culture or style),18
Surinamese,18
Santo Domingo,18
Ivorian,18
Baffin Island Inuit,17
Caribou Inuit,17
Mohawk (culture or style),17
Jemez (culture or style),17
Metis,17
Yup'ik,17
Mantuan,17
MonÕ©gasque (culture or style),17
Andalusian,16
Tajik (culture or style),16
Ghanaian,16
Libyan,16
Arapaho (culture or style),15
Cambodian (culture or style),15
Congolese (general),15
Arabian (culture),15
Cameroonian,15
Palestinian,15
San Juan (Rio Grande Pueblo),15
Saudi Arabian,15
Bosnian Herzegovinian,15
Western European,15
Balinese,14
Blackfeet (Teton),14
Ungava,14
Walloon (culture or style),14
Tohono O_ÑéOdham,14
Nez PercÕ© (culture or style),14
Zia,14
Tsimshian (culture or style),14
Umbrian (modern),14
Laguna,13
North American,13
Chalcidian (Ancient Greek culture or period),13
Micmac (culture or style),13
Paduan,13
Perugian,13
Islamic (culture or style),12
Aragonese (culture or style),12
Hunkpapa,12
Barbadian,12
Angolan,12
Kuwaiti,12
Taos (Native American style),12
Laconian (culture or style),12
Maidu (culture or style),12
Liechtenstein,12
Bannock,11
Frankish (culture or style),11
Early Netherlandish,11
Nepalese (culture or style),11
Franco-Flemish,11
Basque (culture or style),11
Seminole,11
Yakima (culture or style),11
BrulÕ©,10
Belizean,10
Emirati,10
Labrador Inuit,10
Crow (Native American style),10
Mongolian (modern nationality),10
Venetan (culture or style),10
Moldovan (culture or style),10
Transylvanian (culture),10
Anatolian (culture or style),9
Afghan (Central Asian style),9
ProvenÕ_al (culture or style),9
Isleta,9
Ancient Macedonian (culture or style),9
Assiniboin,9
Seneca (culture or style),9
Latin American,9
Kyrgyz (culture or style),9
Austro-Hungarian,9
Boeotian (general),9
Greenlandic (culture or style),9
Malian,9
Mallorcan (culture),9
Rhenish,9
Asia Minor,8
Burmese (culture or style),8
Yanktonai,8
Apache (culture or style),8
Southern Cheyenne,8
Bermudian,8
Mughal,8
Onondaga (culture or style),8
Chinese-American,8
Netsilik Inuit,8
Valencian (culture or style),8
Swabian (culture or style),8
Christianity,8
Paiute (culture or style),8
Saxon (historical culture or style),8
Martiniquan,8
Congolese (Democratic Republic of Congo culture),8
Osage (culture or style),8
Yemeni,8
Russian-American (culture),8
Cycladic,7
Aleut (culture or style),7
Ho-Chunk,7
Chalukyan,7
Rosebud Sioux,7
Castilian (culture or style),7
Tuscarora (Iroquois speaking),7
Hebrew (culture or style),7
Pueblo (Native American style),7
Washo (culture or style),7
Pomo (Californian Native American style),7
Tesuque,7
Pawnee (culture or style),7
Plains Cree,7
Corsican (culture or style),7
Spartan,7
Torinese,7
Wasco,7
Namibian,7
Montenegrin,7
Tanzanian,7
Colonial Spanish American,6
Fox (style),6
Blood (Native American style),6
Northern Cheyenne,6
Assyrian,6
North African,6
Franciscan,6
Potawatomi (culture or style),6
Ute (culture or style),6
LuiseÕ±o (style),6
Judaism,6
Makah (culture or style),6
Northern Italian,6
Trinidadian Tobagonian,6
Sierra Leonean,6
Abruzzese,5
Antiguan Barbudan,5
Cayuga (culture or style),5
Cowichan,5
Piegan,5
Carolingian (culture or style),5
Caribbean,5
Jicarilla Apache,5
Oneida (culture or style),5
Miniconjou,5
Javanese (culture or style),5
Colville,5
Ottawa,5
Botswana (national),5
Picuris,5
Saulteaux,5
Dominican (monastic order),5
French Guianese,5
Hidatsa (culture or style),5
Hupa (culture or style),5
Tibetan (culture or style),5
Karok (culture or style),5
Rappahannock,5
Virgin Islands,5
Walla Walla (culture or style),5
Ugandan,5
San Marinese,5
Tyrolean,5
Coptic (culture or style),4
Chichimec (culture or style),4
Caddo,4
Atsugewi (culture or style),4
Chemehuevi,4
Turtle Mountain Chippewa,4
Malagasy (culture or style),4
French-Canadian,4
Bahraini,4
Chickasaw (culture or style),4
Delaware,4
Calabrian,4
Macanese (culture or nationality),4
Maricopa (culture or style),4
Mescalero Apache,4
Nambe,4
Mojave,4
San Carlos Apache,4
Chipewyan (culture or style),4
Burkina Faso,4
Sans Arc,4
Grenadian,4
Laotian,4
Gallic,4
Gros Ventre (culture or style),4
San Felipe,4
Kiowa Apache,4
Shawnee (culture or style),4
Saint Vincentian,4
Eritrean,4
Yuchi,4
West Indian,4
Rhodesian,4
Lorraine,4
Sao Tomean,4
Togolese,4
Carinthian,3
Albertan (Canadian),3
Eighteenth Dynasty (Egyptian),3
"Punic (Carthaginian, culture or style)",3
Norman,3
Ostrogothic,3
Aegean,3
DiegueÕ±o,3
Cayuse,3
Chiricahua Apache,3
Arawak (culture or style),3
Aztec (culture or style),3
Asian-American,3
Visigothic (style),3
Galilean,3
Arikara (culture or style),3
Flathead,3
Huron (culture or style),3
Cahuilla (culture or style),3
North Korean,3
Bruneian,3
Scythian,3
Anglican (Church of England),3
Benedictine,3
Carrier (Native American style),3
Manitoban,3
Kickapoo,3
Seleucid,3
Illyrian,3
Southern African,3
Theban,3
Granadine,3
Emilian (culture),3
"Inca (culture, general)",3
Pojoaque,3
Buddhism,3
Guadeloupean,3
Friulian (culture or style),3
Lumbee (culture or style),3
Gitksan,3
Chadian,3
Pergamene (culture or style),3
Kittian Nevisian,3
Miwok (culture or style),3
Haisla (culture or style),3
Mandan (culture or style),3
Okanagan (culture or style),3
Ligurian (culture or style),3
Omaha,3
Modenese,3
Lummi,3
Tahltan (culture or style),3
Bulgarian (culture or style),3
Niska,3
Puyallup,3
Pisan,3
Yokuts (culture or style),3
Yurok (culture or style),3
Malawian,3
Jerseyan,3
Languedocian (culture or style),3
Nigerien (Niger),3
Reunionese,3
Tarquinian (Roman monarchy),2
Moorish,2
Gallo-Roman,2
Augustinian,2
Chugach,2
Cook Islands,2
Rinzai,2
Fijian (culture or style),2
Viking,2
Merovingian (culture or style),2
Anatolian Islamic,2
Mycenaean,2
Bhutanese,2
Greco-Bactrian,2
Nomtipom,2
Abnaki,2
Hlengwe,2
Hispanic,2
Amba (Maniema region style),2
Eskimo (culture or style),2
Beothuk,2
Athapaskan (culture or style),2
Catawba (Native American),2
Bella Coola (culture or style),2
Santee,2
AymarÕç (style),2
Mediterranean (Early Western World),2
Twelfth Dynasty (Egyptian),2
New Caledonian (culture or style),2
Palauan (culture or style),2
Ga (Guinea Coast style),2
Lwena,2
Asante,2
Igala,2
Tswana (culture or style),2
Copper Inuit,2
Near Eastern (Early Western World),2
Ottonian,2
New Guinea,2
Tartar,2
Berber (culture or style),2
Siberian (culture or style),2
Tarahumara,2
Kalispel,2
Chinook,2
Chumash (culture or style),2
ChimÕ_,2
Archaic (Greek culture or period),2
Polynesian,2
Solomon Islands,2
Marianas Islands,2
Tasmanian,2
Camaldolese,2
Kurdish (culture or style),2
Turka,2
Chitimacha (culture or style),2
Ptolemaic,2
Babylonian,2
Argive,2
Newfoundland,2
Creole,2
Carmelite,2
Tepehuan (culture or style),2
Klikitat,2
Northern Paiute,2
Menomini (culture or style),2
Arabic (style),2
Cappadocian (culture or style),2
Indochinese,2
Hessian (culture),2
Ghurid,2
Mahican,2
Cilician,2
Yaqui (culture or style),2
Kutenai,2
Coushatta,2
Western Apache,2
Miami (culture or style),2
Maldivian (culture or style),2
Frisian (culture or style),2
Episcopal,2
Sandia (Rio Grande Pueblo style),2
Malecite,2
Cape Verdean,2
Huguenot,2
Iowa,2
Levantine (culture or style),2
Lydian,2
Phoenician (culture or style),2
Sauk,2
Protestantism,2
Monacan,2
Mesopotamian (culture or style),2
Timor,2
Nanticoke (culture or style),2
Congolese (Republic of the Congo culture),2
Omani,2
Lucchese (culture),2
Oceanic,2
Burgundian (medieval),2
Narragansett (culture or style),2
Kutchin,2
Jin (Golden Tartars),2
Qatari,2
Peepeekisis,2
Song (Chinese style),2
Marchigiano,2
Passamaquoddy,2
Klallam,2
Euboean (Greek regional culture),2
Mende,2
Breton (culture or style),2
Shuswap (culture or style),2
Ming,2
Yuman (culture or style),2
Equatorial Guinean,2
Saint Lucian,2
Qing,2
Hellenistic,2
Penobscot,2
Tonkawa (culture or style),2
Oto,2
Gabonese,2
Western Mono,2
Nisqually,2
Romanian-American (culture),2
Punjabi (Indian culture and style),2
Megarian (culture or style),2
Parmesan,2
Wintun,2
Ponca,2
Sara,2
Peloponnesian,2
Wichita (culture or style),2
Guinean,2
Quinault (culture or style),2
Rhodian (culture or style),2
Yuki (culture or style),2
Sicyonian,2
Faroese (culture or style),2
Liberian (African national style),2
South Italian (Italian culture or style),2
Mono Lake Paiute,2
Triestan,2
Mauritanian (African national style),2
Kosovan,2
Limburger,2
Somalian,2
Swazi (African national style),2
Savoyard,2
Armenian Apostolic,1
Ancient British,1
Egyptian Islamic,1
Tla-o-qui-aht First Nations,1
Punjabi (Pakistani),1
Geluk,1
Six Dynasties,1
Mennonite,1
Lahori,1
Assemblies of God,1
Albigensian,1
Discalced Carmelite,1
Hananwa,1
Kgalagadi (culture or style),1
Gurensi,1
Bantu (culture or style),1
Binji,1
Boma (culture or style),1
Bangi,1
Bailundu,1
Bargu,1
Anufo,1
Yeye,1
Bamana,1
Adangme,1
Babungo,1
Chopi,1
Lozi (culture or style),1
Badyaranke,1
Bumali,1
Luimbe,1
Abe,1
Birifor,1
Marrakech,1
Aka (Mbuti style),1
Brigittine,1
Day (African style),1
Ai-Hanum,1
Khotan,1
Anan'ino,1
Perm,1
Chiadma,1
Tulunid,1
Ya 'Furid,1
Buyid,1
Seljuk,1
Qaramanid,1
Jalayirid,1
Church of Jesus Christ of Latter-Day Saints,1
Ch'Õ_an-chen,1
Cluniac,1
Capuchin (Christian order),1
Bogomil,1
Kunda (Southern African style),1
Mahendravarman,1
Arnhem Land,1
Jayavarman II,1
Choukoutien,1
Aguada (Bronze Age culture or period),1
Sebilian,1
Ancient German,1
Magyar,1
Anglo-Norman,1
Twenty-sixth Dynasty (Egyptian),1
Apennine,1
Aua,1
Philia stage,1
Cypro-Phoenician,1
Cajun,1
Cuzco,1
Aruban,1
Native Mexican,1
Amazonian (South American),1
Mesoamerican,1
Classic Veracruz,1
Hongxian,1
Yayoi,1
Asuka,1
Kamakura,1
Edo (Japanese Migration style or period),1
Meiji,1
Levalloiso-Mousterian,1
Saisunaga-Nanda,1
Nayak,1
Proto-Sesklo,1
Dabida,1
Adventism,1
Ahmadiyya,1
Conservative Judaism,1
Arya Samaj,1
Amish,1
Chinese Buddhism,1
Irian Jaya,1
Ambrym (culture or style),1
Bougainville,1
Caroline Islands,1
Mangaian,1
Mangarevan,1
Tahitian (culture or style),1
Ch'an (religion),1
Jodo,1
Chinzei,1
Theravada,1
Pure Land Buddhism,1
Greek Orthodox,1
Rosicrucian (style of art),1
Arunta,1
Baining,1
First Dynasty (Egyptian),1
Third Dynasty (Egyptian),1
Seventh Dynasty (Egyptian),1
Eleventh Dynasty (Egyptian),1
Thirteenth Dynasty (Egyptian),1
Twenty-fifth Dynasty (Egyptian),1
Early Etruscan,1
Monarchic (Roman style or period),1
Asturian (Medieval),1
Abbevillian,1
Ahrensburgian,1
Almerian,1
Dilmun,1
Canaanite (culture or style),1
Akkadian (culture or style),1
Achaean,1
Afanasievo,1
Bol'shaia Rechka,1
Pre-Licchavi,1
Bhatgaon,1
Swat Valley,1
Adivasi,1
Harappan,1
Pallava,1
Deccani,1
Anuradhapura,1
Mandalay,1
Pegu,1
Pre-Angkorean,1
Funan (Pre-Angkorean style),1
Ancient Chinese,1
Microlithic (Chinese),1
Xia (culture or period),1
Anyang (Shang style),1
Ainu (culture or style),1
KoryÅè,1
Old Silla,1
DÕâng-Son (Indonesian culture or period),1
Central Javanese,1
Malayu,1
Algonkin,1
Ahtena (culture or style),1
Achomawi,1
California Yuman,1
Western Shoshone,1
Alsea,1
Bella Bella,1
Tawakoni,1
Acolapissa,1
Cora (culture or style),1
Tarascan,1
Tlahuica,1
Amuzgo,1
ItzÕç (style),1
Cakchiquel (culture or style),1
Chamula,1
Cuna (Native American style),1
Cueva-Cuna,1
Amahuaca (culture or style),1
Atsahuaca,1
Araucanian (culture or style),1
Achagua,1
AbipÕ_n,1
Andaqui,1
Bororo (South American),1
Alacaluf,1
Altoperuvian,1
Arequipa,1
Tlalpan,1
El Arbolillo,1
Xe (Maya culture or period),1
ArÕ©valo,1
OcÕ_s,1
AztatlÕçn,1
Couri,1
Early Chiripa,1
Cerro SechÕ_n,1
Salinar,1
Atarco,1
Lambayeque,1
AtacameÕ±o,1
Valdivia,1
Calima,1
Aushi (culture or style),1
Duma (Southern African style),1
Plateau Tonga,1
Sotho (culture or style),1
Ambo (Southern Angolan and Northern Namibian style),1
Dama (Namibian style),1
Nama,1
Kung,1
Ancient Mauretanian,1
Mississippian,1
Dorset,1
Akmak,1
Nukleet,1
Mbembe (Tigong),1
Angas,1
Bafia,1
Benga,1
Beti,1
Duma (Kota-Mbete region style),1
Hongwe,1
Galwa,1
Bembe (Kongo),1
Fumu,1
Chokwe (culture or style),1
Axiluanda,1
Hemba (culture or style),1
Gobu,1
Kwange,1
Aka (Pygmy style),1
Chagga (culture or style),1
Arusha,1
Chuka (culture or style),1
Bemba (Southern African style),1
Yelwa,1
Kanembu,1
Zarma,1
Gur,1
Dorosie,1
Djimini,1
Kassena,1
Lamba (West African style),1
Adarawa,1
Adamawa Fulbe,1
Abakwariga,1
Bagirmi,1
Akan (culture or style),1
Balanta (culture or style),1
De (Kwa-speaking peoples style),1
Bassa (Liberian),1
Sapo (culture or style),1
Ano,1
Yohure,1
Krobo,1
Anlo,1
Adja (culture or style),1
Tofinu,1
Akoko,1
Bini (Edo-speaking culture style),1
Ebira,1
Abua (culture or style),1
Kanakuru,1
Afo,1
Manga (Kanuri style),1
Dyan,1
Gouin,1
Lela (Gurunsi),1
Dendi,1
Bororo (African),1
Gobir,1
Anyi,1
Banyun,1
Etulo,1
BÕ©tÕ© (Kru-speaking culture),1
Tien (Wee),1
Baule (culture),1
Aowin,1
Shai,1
Aizo (culture or style),1
Edo (African culture),1
Ijo (culture or style),1
Idoma,1
Anyang (Nigerian),1
Alago,1
Chamba (Nigerian),1
Bachama,1
Bafo,1
Bubi (culture or style),1
Ngumba,1
Hum (Kota-Mbete),1
Ndumu,1
Lali,1
Kongo (culture or style),1
Bwende,1
Holo,1
Tsaayi,1
Luchazi,1
Lulua,1
Holoholo,1
Bangubangu,1
Babwa,1
Baka (culture or style),1
Amhara,1
Dorobo,1
Tharaka,1
Chewa,1
Kawendi,1
Gova,1
Soli,1
Kwena,1
Khoikhoi,1
Naron,1
Bedouin,1
Pre-Dorset,1
Birnick,1
Anangula,1
Tlatilco,1
La Pastora,1
Mixteca-Puebla,1
Mamon,1
Esperanza,1
Cuadros,1
Colima,1
Los Barrancos,1
Pre-Ceramic (Pre-Columbian),1
JunÕ_n,1
Kotosh,1
PucarÕç,1
Pacheco,1
Ica,1
Diaguita,1
Machalilla,1
SinÕ_,1
Guaicurian,1
Wind River Shoshone,1
Waco,1
Coeur d'AlÕŒne (Native American style),1
Atakapa (culture or style),1
Cocopa (culture or style),1
Eastern Apache,1
Huichol (culture or style),1
Huastec,1
Tlaxcalan,1
Chatino (culture or style),1
Mopan,1
Ixil,1
Totolapan,1
Dorasque,1
San Blas,1
Carib,1
Apalai,1
Campa (culture or style),1
CarajÕç (Caribbean Coast style and culture),1
Ashluslay,1
Andoque,1
Botocudo,1
ChanÕç,1
Puebla,1
Poblano,1
Cantonese,1
Hoabinhian,1
Erlitou,1
Three Kingdoms (Korean),1
Koguryo,1
Late Zhou (Indonesian),1
Bornean,1
East Javanese,1
Maiemir,1
Kashmiri (culture or style),1
Licchavi,1
Kathmandu,1
Mohenjo-daro,1
Delhi Sultanate,1
Mon (Burmese culture),1
ThatÕân,1
Angkorean,1
Chen-la,1
Acheulian,1
Asturian (Mesolithic),1
Butmir,1
Celtic (culture),1
Median (Persian style),1
Aeolian,1
Predynastic,1
Second Dynasty (Egyptian),1
Fourth Dynasty (Egyptian),1
Eighth Dynasty (Egyptian),1
Fourteenth Dynasty (Egyptian),1
Ramesside period,1
Twenty-first Dynasty (Egyptian),1
Late Etruscan,1
Republican,1
Anglo-Saxon (culture or style),1
Umayyad,1
Melanesian,1
Murngin,1
Sulka,1
Banks Islands,1
Buka (culture or style),1
Easter Island,1
Chen-Yen (Buddhism),1
Jodo Shinshu,1
Soto,1
Russian Orthodox,1
Ajivika,1
Bektashi,1
Orthodox Judaism,1
Anabaptism,1
Hinayana,1
Kofun,1
Nara (Japanese culture or style),1
Nambokucho,1
Momoyama,1
Taisho,1
Micoquian,1
Maurya,1
Vijayanagar,1
Sesklo,1
Helladic,1
DÕâng-Son (Vietnamese culture or style),1
Twenty-seventh Dynasty (Egyptian),1
Ausonian,1
Wuvulu Island,1
Early Cypriote,1
Colonial British American,1
Quito,1
Olmec,1
Barreales,1
Afro-Asiatic,1
Alpine (Alps),1
Kimberleys,1
Nyanja,1
Basilian,1
Cathari,1
Chungwan,1
Community of Christ,1
Nasrid,1
Ikhshidid,1
Sulayhid,1
Samanid,1
Atabeg,1
Seljuk of Rum,1
Mongol (Iranian Islamic),1
Bactrian,1
Uighur (culture or style),1
Sarmatian,1
Chichaoua,1
Antaimoro,1
Basua,1
Mwan,1
Bamileke,1
Ila,1
Mbukushu,1
Bassari (Tenda),1
Pomo (African style),1
Abidji,1
Mbanza,1
Mediouna,1
Pygmy (African culture or style),1
Biombo (Kuba region style),1
Mongo,1
Dzing,1
Banziri,1
Basari (Gur),1
Dyula (culture or style),1
Gagu,1
Nabdam,1
Banda (culture or style),1
Q—Åd—‰,1
Kgatla,1
KagyÕ_,1
Batavian,1
Iraqi Islamic,1
Coptic (Orthodox Christianity),1
Jiji,1
Loi,1
Bembe (Maniema region style),1
Banen (culture or style),1
Duala,1
Ntumu,1
Kande (Kota-Mbete culture),1
Wumu (Kota),1
Lumbo,1
Dondo,1
Bata (African style),1
Obolo,1
Boki,1
Anaguta,1
Grebo,1
Gbi,1
Sanwi,1
Ewe (Guinea Coast style),1
Mahi,1
Bunu (culture or style),1
Gan (Lobi),1
Kulango,1
Nuna,1
Fulbe,1
Fula (culture or style),1
Kebbi,1
Bulahay,1
Zacatenco,1
Sarqaq,1
Denbigh,1
Kodiak,1
Archaic (North American),1
Henga,1
Shangaan,1
Toka,1
Malete,1
San (Khoisan-speaking peoples styles),1
Sarwa,1
Beja,1
Bongo (Pygmy style),1
Huana,1
Lunda (culture or style),1
Mayo (Native American style),1
Matlatzinca,1
Chinantec,1
Yucatec,1
Kekchi (culture or style),1
Zinacantec,1
GuaymÕ_,1
Concho,1
Gosiute,1
Chehalis (culture or style),1
Siksika (culture or style),1
Sutaio,1
Yankton,1
Peninsula Yuman,1
Conestoga (Native American style),1
Lauricocha,1
Moxeke,1
Gallinazo,1
Tiahuanaco,1
Chancay,1
Chorrera,1
Tolima,1
Beaver (Native American style),1
Cuautepec,1
TeotihuacÕçn,1
Chicanel,1
Las Charcas,1
Jocotal,1
Jalisco,1
Lake Mojave,1
Polonnaruwa,1
PagÕçn (Burmese style),1
Post-Angkorean,1
Wayang,1
Andronovo,1
Pazyryk,1
Ladakhi,1
Utpala,1
Kusinagara,1
Ganga,1
Unified Silla Kingdom,1
Paekche,1
Shang,1
Caucasian (culture or style),1
Caduveo,1
Barbacoa (South American style),1
Caingang,1
CharrÕ_a,1
Provincial Highland,1
Ciboney,1
Arua,1
CaÕ±ari (Central Andean),1
ComechingÕ_n,1
Chaima,1
Early Dynastic (Egyptian),1
Fifth Dynasty (Egyptian),1
Elamite,1
Hallstatt (Bronze Age culture or period),1
Nabatean,1
Clactonian,1
Azilian,1
Chasseen,1
Micronesian (culture or style),1
Saracenic,1
Abbasid,1
Ninth Dynasty (Egyptian),1
Fifteenth Dynasty (Egyptian),1
Nineteenth Dynasty (Egyptian),1
Twenty-fourth Dynasty (Egyptian),1
Tolai,1
Malekulan,1
Choiseul (culture or style),1
Kosraen,1
Gambier Islands,1
T'ien-T'ai,1
Nichiren Buddhism,1
Japanese Buddhism,1
Shi'a,1
Reform Judaism,1
Brahmanism,1
Showa,1
Mousterian,1
Candelaria,1
Colonial Canadian,1
Twenty-eighth Dynasty (Egyptian),1
Morgetian,1
Middle Cypriote,1
Sunga,1
Dimini,1
Minoan,1
Koniag,1
Heian,1
Muromachi,1
Hmong (culture or style),1
West African (general),1
Phoka,1
Christadelphian,1
Gansu,1
Rehamna,1
Balalyk-Tepe,1
Idrisid,1
Fatimid,1
Rasulid,1
Saffarid,1
Il-Khanid,1
Nar,1
Kuba (Democratic Republic of Congo style),1
Abure,1
Nyungwe,1
Mbunda (Upper Zambezi River region style),1
Bedik,1
Antandroy,1
Efe (Mbuti style),1
Gbande,1
Tallensi,1
Brong,1
Khassonke,1
Topoke,1
Mbun,1
Bomitaba,1
Bisa,1
Rabat (Moroccan style),1
Nyingma,1
Manus (culture or style),1
Lovedu,1
Tawana,1
Eritrean Orthodox,1
Bassa (Cameroonian),1
Fang (culture or style),1
Kota (Kota-Mbete region style),1
Massango,1
Kakongo,1
Dowayo,1
Bolewa,1
Etsako,1
"Igbo (Southern Nigerian style, culture)",1
Ejagham,1
Gade,1
Bijogo,1
Krahn,1
Coastal Akan,1
Sefwi,1
Fon (culture or style),1
Kwa (culture or style),1
Nunuma,1
Hausa (culture or style),1
Fali,1
Nubian (culture or style),1
Taino,1
TicomÕçn,1
Thule,1
Kobuk,1
Ndau,1
We (Tonga),1
Il Chamus,1
Barambo,1
Cwa,1
Arusi,1
Kwese,1
Minungo,1
Kalundwe,1
Ntomba (culture or style),1
Boyo,1
CaÕ±ar (Chaco style),1
Calamari,1
Chono,1
Tepalcingo,1
Guanahatabey,1
CaquetÕ_o,1
Masco,1
Huarpe,1
Jirajara,1
Mazahua (culture or style),1
Chocho,1
LacandÕ_n (style),1
Guetar,1
Havasupai,1
Lipan Apache,1
Kawaiisu (culture or style),1
Illinois,1
Siches,1
Cupisnique,1
Recuay,1
Pachacamac,1
Guangala,1
Iglulik,1
Montagnais (culture or style),1
Matzanel,1
Providencia,1
Conchas,1
Mezcala,1
Assyro-Babylonian,1
Achaemenid,1
Jastorf,1
Ancient Syrian,1
Qatabanian,1
Levalloisian,1
Campignian,1
Tughluq,1
Pyu,1
Shibe,1
Thakuri,1
Patan,1
Bhil,1
Pala (Indian style),1
Yi (Korean culture or period),1
Flores (Indonesian style),1
Zhou (culture),1
Tenth Dynasty (Egyptian),1
Sixteenth Dynasty (Egyptian),1
Twentieth Dynasty (Egyptian),1
Twenty-second Dynasty (Egyptian),1
Late Antique,1
Heracleopolitan,1
Old Kingdom (Egyptian),1
Sixth Dynasty (Egyptian),1
Oba,1
Malaita (culture or style),1
Shingon,1
Arminianism,1
Mahayana,1
Atenism,1
Christian Science,1
Sufism,1
Brahmo Samaj,1
Colonial French American,1
Twenty-ninth Dynasty (Egyptian),1
Proto-Villanovan,1
Late Cypriote,1
Andhra,1
Slavic (Migration culture or period),1
Himalayan,1
Norse (ancient),1
Antarctic,1
Andorran,1
Sena (Southern African style),1
Donatism,1
Dalverzin-Tepe,1
Aghlabid,1
Hamdanid,1
Ghaznavid,1
Muzaffarid,1
Lele (Kuba),1
Swazi (Nguni),1
Tonga,1
Nkoya,1
Koniagui,1
Antankarana,1
Blackfoot (Algonkin-speaking),1
Pedi (culture or style),1
Gbundi,1
Denkyira,1
Ligbi,1
Ngul,1
Bondjo,1
Bobo,1
Sakya (Buddhism),1
Ethiopian Orthodox,1
Enya (culture or style),1
Kossi,1
Kwele (Upper Sangha River area style),1
Mpongwe,1
Mbundu (northern Angolan style),1
Duru,1
Bura (Chad),1
Ishan,1
Igede,1
Ibibio,1
Yungur,1
Basa (Nigerian),1
Ga-Adangme,1
Dida (culture or style),1
Kru,1
Ge (Ewe cultures style),1
Yoruba (culture or style),1
Mande,1
Sisala,1
Songhai (culture or style),1
Gamergu,1
Numidian,1
